,Lat,Long,Incidents,closest_police_stations_distance,closest_bike_lockers_distance,closest_lcbo_distance,closest_subway_stations_distance,closest_pawn_shops_distance,closest_bike_stores_distance
441,43.591608346691174,-79.53006108465347,3.0,5665.067330761204,1294.525986472532,890.8101577733806,5149.115020292372,9614.103941684862,2786.3259128689747
442,43.591608346691174,-79.52758715891089,1.0,5671.0420553579315,1494.258237427667,1084.9601419925539,5169.683505747192,9510.958026810444,2605.4680593117155
443,43.591608346691174,-79.52511323316831,1.0,5684.0306932195,1694.001887400541,1280.8418044354278,5197.848858392536,9410.917984942445,2427.5761802762972
444,43.591608346691174,-79.52263930742573,1.0,5703.985330047298,1893.7533293093252,1477.7666905190908,5233.488426206768,9314.083894721522,2253.3528357492733
638,43.59341432536765,-79.54243071336633,1.0,5542.353552570168,375.03416855166233,142.1218684149537,4962.840270516361,10012.186561400562,3662.9640835699042
641,43.59341432536765,-79.53500893613861,1.0,5473.921290272211,923.9940339189066,461.65226822606036,4930.452467187545,9662.781611607797,3087.7581065194727
642,43.59341432536765,-79.53253501039603,5.0,5465.531408424028,1118.532124701105,661.1119421537069,4935.795347855649,9551.821122611978,2898.1916088214566
648,43.59341432536765,-79.5176914559406,1.0,5567.422375224061,2304.663677982556,1786.4778330140148,5133.550119058284,8950.928891394951,1807.504820392809
845,43.59522030404412,-79.53006108465347,1.0,5263.796010697379,1364.2931568165145,876.7258413048596,4749.340760850683,9274.665795673563,2646.9009794275753
847,43.59522030404412,-79.52511323316831,2.0,5284.1983901598005,1747.8756491283307,1271.0666919338128,4802.13023148508,9063.886562983378,2266.2106443765724
848,43.59522030404412,-79.52263930742573,3.0,5305.655732890729,1942.0828259438535,1469.2912271412774,4840.681860317495,8963.310191754654,2078.5168634619645
1046,43.59702628272059,-79.53253501039603,1.0,5064.349616327366,1263.9960393275298,757.1245688360119,4534.97293779525,9218.819767179457,2793.379485087311
1050,43.59702628272059,-79.52263930742573,2.0,5106.665500047729,1996.2869333716021,1505.6930706748435,4644.8233093395,8789.54476686427,2015.522910854711
1051,43.59702628272059,-79.52016538168317,2.0,5136.633673922405,2186.6810260215443,1700.0340693782616,4693.173186342451,8690.383249026336,1823.9194304598145
1052,43.59702628272059,-79.5176914559406,1.0,5174.140325629963,2378.613818984198,1597.2550272217884,4749.433811338152,8594.716075356551,1634.2689506476822
1055,43.59702628272059,-79.51026967871287,1.0,5330.1401261601395,2960.6413948963605,1065.2265114107101,4962.801464158898,8329.862676065492,1087.2508123350958
1056,43.59702628272059,-79.5077957529703,1.0,5395.935037023081,3156.088854159585,906.7199367302726,5047.73902807826,8249.35597463525,919.5003897392733
1057,43.59702628272059,-79.50532182722772,1.0,5468.234241431694,3352.0461867387617,767.7091543395605,5139.036505485687,8129.743886525459,767.235971752245
1255,43.59883226139706,-79.51521753019802,1.0,5024.613152936263,2628.263824135917,1341.6069804501972,4625.01691835506,8324.126683259396,1384.7284694208881
1256,43.59883226139706,-79.51274360445544,1.0,5078.675307697198,2818.440054344684,1152.2809458526856,4699.097762246021,8233.890474141488,1192.1608746677653
1258,43.59883226139706,-79.5077957529703,3.0,5208.127852083949,3202.2986423283096,789.2000566526485,4868.496395370711,8065.224025720463,817.434962899368
1444,43.60063824007353,-79.54737856485148,2.0,4846.866984265017,1039.0997147560765,940.8097346537776,4239.338665640998,9645.964798988196,3941.2043395521514
1445,43.60063824007353,-79.5449046391089,1.0,4796.000989848145,1038.2517391062001,842.6118872196337,4198.326345907112,9513.898059597836,3741.5903870320344
1453,43.60063824007353,-79.52511323316831,1.0,4684.921361045317,1984.22000245697,1477.1973126199723,4210.534675105723,8552.247923664263,2145.5782002159035
1455,43.60063824007353,-79.52016538168317,4.0,4741.587550512975,2334.533335661262,1692.5643028294805,4307.177610683738,8342.347678434131,1747.138843293671
1456,43.60063824007353,-79.5176914559406,2.0,4782.191126422524,2515.1984562947805,1494.3340061245515,4368.40865259632,8242.648066216976,1548.1234716750323
1459,43.60063824007353,-79.51026967871287,2.0,4950.547401904648,3071.4216847140274,903.6607516772548,4599.472471218802,7966.114684731616,952.9190217153695
1461,43.60063824007353,-79.50532182722772,4.0,5098.923642362794,3450.260793630225,520.8696573117401,4789.085333137876,7801.883191541787,560.9160982286331
1462,43.60063824007353,-79.50284790148514,2.0,5183.067718321623,3641.339405454146,344.0253347006773,4893.369064968732,7725.331967886553,370.95951303649747
